snapshot_ts,parent_event_id,fomc_decision_date,market_type,is_sparse_ctf,days_to_next_fomc,expected_bps,p_no_change,margin_over_second,n_brackets,modal_prob,modal_outcome_bps,modal_direction,distance_from_uniform,reit_index_open,reit_index_high,reit_index_low,reit_index_close,reit_index_fwd_21d_return,sora_level_realized,sora_fwd_21d_level,sora_fwd_21d_change,sora_fwd_21d_abs_change,sora_level_t2,sora_90d_change_t2,sora_3m_t2,sora_term_spread_t2
2024-07-23,11074,2024-07-31,CTF,False,8,-1.55,0.959,0.909,4,0.959,0.0,hold,0.709,1032.1801,1035.77,1028.21,1034.02,0.02323,3.5239,3.1962,-0.3277,0.3277,3.5864,-2.2,3.6402,0.0538
2024-07-24,11074,2024-07-31,CTF,False,7,-1.575,0.957,0.916,4,0.957,0.0,hold,0.707,1033.13,1033.13,1026.63,1029.84,0.026247,3.5458,3.2314,-0.3144,0.3144,3.5679,0.67,3.6397,0.0718
2024-07-25,11074,2024-07-31,CTF,False,6,-2.4861,0.930783,0.870341,4,0.930783,0.0,hold,0.680783,1024.8,1024.8,1008.53,1016.35,0.057421,3.6271,3.2189,-0.4082,0.4082,3.5239,-0.42,3.6393,0.1154
2024-07-26,11074,2024-07-31,CTF,False,5,-2.325,0.916,0.84,4,0.916,0.0,hold,0.666,1017.49,1021.91,1012.32,1019.25,0.051401,3.6541,3.3159,-0.3382,0.3382,3.5458,1.77,3.6395,0.0937
2024-07-29,11074,2024-07-31,CTF,False,2,-1.475,0.941,0.893,4,0.941,0.0,hold,0.691,1025.02,1033.1801,1023.29,1028.59,0.041649,3.5438,3.3554,-0.1884,0.1884,3.6271,-2.88,3.64,0.0129
2024-07-30,11074,2024-07-31,CTF,False,1,-1.425,0.941,0.891,4,0.941,0.0,hold,0.691,1028.33,1033.61,1025.64,1031.17,0.038636,3.4769,3.4319,-0.045,0.045,3.6541,-0.18,3.6399,-0.0142
2024-07-31,11074,2024-07-31,CTF,False,0,-1.075,0.96,0.919,4,0.96,0.0,hold,0.71,1028.46,1036.88,1025.66,1030.89,0.046426,3.4336,3.5355,0.1019,0.1019,3.5438,3.53,3.6403,0.0965
2024-08-01,11696,2024-09-18,CTF,False,48,-23.1746,0.15,0.6,4,0.75,-25.0,cut,0.5,1034.72,1051.52,1032.9301,1045.21,0.038165,3.5377,3.4466,-0.0911,0.0911,3.4769,-2.97,3.6389,0.162
2024-08-02,11696,2024-09-18,CTF,False,47,-27.425,0.06,0.59,4,0.76,-25.0,cut,0.51,1039.1801,1048.25,1037.1801,1043.77,0.029144,3.5838,3.5593,-0.0245,0.0245,3.4336,-7.3,3.6381,0.2045
2024-08-05,11696,2024-09-18,CTF,False,44,-36.725,0.039167,0.09,4,0.52,-50.0,cut,0.27,1033.9,1033.9,1007.1,1016.28,0.048471,3.6111,3.4622,-0.1489,0.1489,3.5377,-21.44,3.6384,0.1007
2024-08-06,11696,2024-09-18,CTF,False,43,-38.65,0.056,0.19,4,0.58,-50.0,cut,0.33,1012.72,1014.87,1003.41,1003.42,0.079827,3.5735,3.4824,-0.0911,0.0911,3.5838,-18.49,3.634,0.0502
2024-08-07,11696,2024-09-18,CTF,False,42,-36.425,0.042,0.07,4,0.51,-50.0,cut,0.26,1006.98,1017.64,1006.98,1012.08,0.086802,3.6052,3.5859,-0.0193,0.0193,3.6111,-22.18,3.6325,0.0214
2024-08-08,11696,2024-09-18,CTF,False,41,-37.925,0.037,0.1,4,0.54,-50.0,cut,0.29,1006.75,1013.29,1004.9,1008.49,0.091077,3.5987,3.5167,-0.082,0.082,3.5735,-39.5,3.6303,0.0568
2024-08-12,11696,2024-09-18,CTF,False,37,-31.425,0.074111,0.33,4,0.64,-25.0,cut,0.39,1011.08,1013.51,1004.83,1007.02,0.094288,3.6452,3.4959,-0.1493,0.1493,3.6052,-40.24,3.6279,0.0227
