parent_event_id,parent_event_slug,parent_event_title,parent_series_slug,parent_end_date_intended,parent_end_date_actual_resolution,market_slug,group_item_title,group_item_threshold,closed,end_date,created_at,_fetched_at,token_id,in_observed_export,token_map_status
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,will-the-fed-change-rates-to-another-level-after-nov-meeting,Other,5,True,2024-11-07T12:00:00Z,2024-09-18T18:03:17.068712Z,,3.3143533540709E+076,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,75+ bps decrease,0,True,2024-12-18T12:00:00Z,2024-08-06T16:06:01.725999Z,,3.83464280971732E+076,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,fed-decreases-interest-rates-by-75-bps-after-december-2024-meeting,75+ bps decrease,0,True,2024-12-18T12:00:00Z,2024-08-06T16:06:01.725999Z,,9.24812791776568E+076,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,50 bps decrease,1,True,2024-12-18T12:00:00Z,2024-08-06T16:08:18.509642Z,,8.65145636507062E+076,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,50 bps decrease,1,True,2024-12-18T12:00:00Z,2024-08-06T16:08:18.509642Z,,3.93187152593416E+074,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,25 bps decrease,2,True,2024-12-18T12:00:00Z,2024-08-06T16:08:38.675523Z,,1.15678146420749E+076,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,25 bps decrease,2,True,2024-12-18T12:00:00Z,2024-08-06T16:08:38.675523Z,,1.04624982332232E+077,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,no-change-in-fed-interest-rates-after-december-2024-meeting,No Change,3,True,2024-12-18T12:00:00Z,2024-08-06T16:09:17.291199Z,,4.04868457576495E+076,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,no-change-in-fed-interest-rates-after-december-2024-meeting,No Change,3,True,2024-12-18T12:00:00Z,2024-08-06T16:09:17.291199Z,,8.99831129944701E+076,1,ok
11878,fed-interest-rates-december-2024,Fed decision in December?,fed-interest-rates,2024-12-18T12:00:00Z,2024-12-18T22:34:46Z,fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,25+ bps increase,4,True,2024-12-18T12:00:00Z,2024-08-06T16:10:13.881646Z,,2.39332413701281E+075,1,ok
