snapshot_ts,ticker,car_63d,car_sign_consistency,car_acceleration,expected_bps,sora_level_t2,reit_index_lag_21d_return,reit_index_lag_63d_return,reit_index_vol_21d,reit_index_vol_63d,reit_index_drawdown_63d,is_A17U,is_AJBU,is_BTOU,is_BUOU,is_C38U,is_CMOU,is_J69U,is_M1GU,is_M44U,is_ME8U,is_N2IU,is_OXMU,is_T82U,y_true
2023-12-12,M1GU,-0.002710062,-0.000118590346,0.0008747933,0.00065978826,0.00021324347,0.00017610152,-6.703511e-05,0.002118527,0.00037850137,-6.8771915e-05,0.0,0.0,0.0003997158,0.0,0.0,0.00017929822,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,-0.03442401993880065
2023-12-12,T82U,-0.002710062,0.000104293846,0.0008747933,0.00064935355,0.00021324347,0.00017610152,-6.703511e-05,0.0021400556,0.00037850137,-0.00027034644,0.0,0.0,0.00040117514,0.0,0.0,0.00017929822,0.0,0.0,0.0,0.0,0.0,-0.00015240812,0.0,0.03142598239963548
2023-12-21,AJBU,-0.00059843855,0.000104293846,0.0012097643,0.001974268,-0.0013411816,0.00016816607,-0.00077442,0.0022335046,0.0023235597,0.00090663775,0.0,0.0,0.000668507,0.0,0.0,0.00018991559,0.0,0.0,0.0,0.0,0.0,-0.0001594396,0.0,0.0032362198284037894
2023-12-26,AJBU,0.00028616586,0.000104293846,0.0013933496,0.001974268,-0.0012344663,0.00016816607,-0.00077921303,0.0012016138,0.0022691893,0.00090756593,0.0,0.0,0.00061413663,0.0,0.0,0.00015950669,0.0,0.0,0.0,0.0,0.0,-0.0001594396,0.0,-0.01301545522067167
2023-12-29,A17U,-0.00056239334,-9.000334e-05,0.0013936039,0.00063629926,-1.5735639e-05,0.0001762361,-0.0004067995,5.3166208e-05,0.0003824306,-5.125333e-05,0.0,0.0,0.0003453454,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,0.010339630040126203
2024-01-02,T82U,-0.00056239334,-9.000334e-05,0.0013936039,0.00063629926,-1.5735639e-05,0.0001762361,-0.0004067995,5.3166208e-05,0.0003824306,-5.125333e-05,0.0,0.0,0.0003453454,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,0.00676025108513445
2024-01-08,J69U,-0.0012256358,-9.000334e-05,0.0013956593,0.00063629926,0.00013837566,0.0001762361,-0.0004067995,0.0004465849,0.00043680097,-4.633724e-05,0.0,0.0,0.0003997158,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,0.039097245416812296
2024-01-09,CMOU,-0.029516248,-9.000334e-05,0.0016731361,0.0018733523,0.00015755135,0.0047420864,-0.0020103434,0.0011504517,-0.0018830056,-5.014734e-05,0.0,0.0,0.00025502383,0.0,0.0,-0.0016159822,0.0,0.0,0.0,0.0,0.0,3.8645747e-05,0.0,-0.02287819695998597
2024-01-11,J69U,-0.001091184,-0.000118590346,0.0013461681,0.0009764297,0.0001950854,0.0001762361,-0.0004067995,0.0004980817,0.0003133336,-7.492423e-05,0.0,0.0,4.705958e-05,0.0,0.0,0.00017461255,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,0.04640569025811941
2024-01-15,BUOU,-0.0019746912,0.000104293846,0.0011625827,0.0009659951,0.0001950854,0.0001762361,-0.00040200644,0.0015515013,0.0003133336,-0.00027649876,0.0,0.0,4.851895e-05,0.0,0.0,0.00020502145,0.0,0.0,0.0,0.0,0.0,-0.00015240812,0.0,0.008494178172257671
