snapshot_ts,sora_term_spread_t2,expected_bps,p_no_change,margin_over_second,days_to_next_fomc,p_no_change_missing,margin_over_second_missing,expected_bps_minus_sora_90d,sora_curve_steepness,sora_lag_21d_diff,sora_lag_63d_diff,sora_lag_10d_diff,sora_lag_5d_diff,sora_realized_vol_21d,sora_realized_vol_63d,sora_below_63d_peak,sora_dist_from_63d_ma,sora_accel_21d
2025-06-24,0.0027712558,-0.025745165,0.0019930261,0.0050238897,0.0046852357,0.0,0.0,-0.016043775,0.00095858786,0.041258287,0.028145894,0.03298267,0.006871495,-0.009538523,-0.024454968,-0.005044015,0.019469446,0.0018791961
2025-06-25,-0.004631431,-0.025745165,0.0019930261,0.0050238897,0.0046852357,0.0,0.0,-0.016043775,0.00095858786,0.041258287,0.028145894,0.03298267,0.006871495,-0.009538523,-0.024454968,-0.005044015,0.019290432,0.0018791961
2025-06-26,0.002718408,-0.02486692,0.0019930261,0.0050238897,0.0046852357,0.0,0.0,-0.016043775,0.00095858786,0.040764824,0.04216367,0.009006538,0.005506709,-0.010386097,-0.023530686,-0.005044015,0.019469446,0.0018791961
2025-06-27,0.0027712558,-0.023186464,0.0019930261,0.0050238897,0.0046852357,0.0,0.0,-0.016043775,0.00095858786,0.041293055,0.042646296,0.03298267,0.036572304,-0.010587462,-0.024454968,-0.005044015,0.019485677,0.0018791961
2025-06-30,0.0027712558,-0.023186464,0.0024202503,0.0050238897,0.0046852357,0.0,0.0,-0.003295003,0.00095858786,0.041293055,0.006267677,0.036809765,0.035758667,-0.010587462,-0.024454968,-0.005044015,0.01980115,0.0018791961
2025-07-01,0.002345153,-0.023186464,0.0024202503,-0.0022026747,0.0046852357,0.0,0.0,-0.0040247794,0.00095858786,0.025360558,0.019146716,0.035007786,0.036660694,-0.010587462,-0.024033831,-0.005044015,0.24059863,0.0018791961
2025-07-02,-0.0012666843,-0.023186464,0.0024202503,-0.0030584582,0.0046852357,0.0,0.0,-0.0040247794,0.00095858786,0.022566352,-0.013276437,0.05419499,0.037509948,-0.010587462,-0.024033831,-0.004832127,0.21480902,0.0018791961
2025-07-03,-0.0046156333,-0.014470904,0.0023386483,0.005034192,0.0046852357,0.0,0.0,-0.014594648,0.0015257081,0.0052909977,0.0057458105,0.033428214,0.04108977,-0.0044078855,0.025153678,-0.004826211,0.019980216,-0.050765388
2025-07-04,-0.0046156333,-0.008911908,0.004593993,-0.013809496,0.0053252266,0.0,0.0,-0.011392935,0.0020837558,0.004267271,0.015957914,0.05364831,0.040972866,-0.0033741978,0.025205534,-0.000591105,0.076702654,-0.04871693
2025-07-07,-0.004668481,-0.0012558859,0.0041667684,-0.012953712,0.0053252266,0.0,0.0,-0.014021206,0.0020837558,0.0055261245,0.008550221,0.009452083,0.0008434806,-0.006659014,0.022574829,-0.0008029935,0.011990061,-0.04871693
2025-07-08,-0.004668481,-0.0012558859,0.0041667684,-0.012953712,0.0053252266,0.0,0.0,-0.0143037,0.0020837558,0.005731418,0.019711744,0.009452083,-0.04297883,-0.0076280925,0.01906911,-0.0008029935,0.012267119,-0.04871693
2025-07-09,0.0027870531,-0.011296085,0.0041667684,-0.012953712,0.0053252266,0.0,0.0,-0.014021206,0.0020837558,0.0060195876,0.008228195,0.033428214,0.0008434806,-0.00581144,0.03291691,-0.0008029935,0.012169073,-0.0035491511
2025-07-10,0.0027870531,-0.012892709,0.004593993,-0.014278451,0.0053252266,0.0,0.0,-0.0154703325,0.0015166355,0.041875653,0.008228195,0.03756924,0.0008434806,-0.017181423,0.046134584,-0.0008029935,0.012169073,0.0042588054
2025-07-11,0.0027342052,-0.011296085,0.0041667684,-0.012953712,0.0053252266,0.0,0.0,-0.0143037,0.0020837558,0.005731418,0.007518797,0.009452083,-0.042785652,-0.021865468,0.04364857,-0.0013720705,0.0129911145,-0.0035491511
2025-07-14,0.0027342052,-0.024818249,0.0041667684,-0.012953712,0.003854895,0.0,0.0,-0.014021206,0.0020837558,0.0047627673,0.0065677734,0.009452083,0.0016738218,-0.02089639,0.047154292,-0.0008029935,0.018694522,-0.0035491511
2025-07-15,0.0027342052,-0.023478135,0.0030170039,-0.014278451,0.0025336451,0.0,0.0,-0.0154703325,0.0015166355,0.039397318,0.0075953826,0.009766012,0.04192011,-3.3125747e-05,0.036667436,-0.0008029935,0.018165769,0.00540857
2025-07-16,0.0036291177,-0.002552608,0.009190933,-0.012953712,0.0019340953,0.0,0.0,-0.013938538,0.0020837558,0.0055261245,0.008228195,0.009452083,0.009170864,-0.018547334,0.05562403,-0.0008029935,0.012169073,-0.0035491511
2025-07-17,0.0032558627,-0.005120188,0.008468393,-0.021505019,0.0019340953,0.0,0.0,-0.009667987,0.0015166355,0.02597792,0.0329158,0.03576726,0.043198038,0.0018422543,0.03822741,-0.0008029935,0.23695426,0.00540857
2025-07-18,0.0053189015,-0.011212249,0.008041169,-0.021505019,0.0012509171,0.0,0.0,-0.009667987,0.0015166355,0.02597792,0.02158986,0.031940166,0.040759098,0.0018422543,0.03822741,-0.0008029935,0.23695426,0.00540857
